Pais/Año,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,3.92502,3.99431,3.94641,3.92098,3.82316,3.65116,3.46269,3.31484,3.19488,3.07528,2.96311,2.86549,2.8631,2.86658,2.92996,2.79099,2.67121,2.54333,2.4311,2.28473,2.15795,2.04263,1.9423,1.82855,1.73867,1.65558
Belgium,4.32334,4.47453,4.59591,4.42627,4.51201,4.49178,4.40149,4.45648,4.31336,4.00617,3.94408,3.5123,3.52731,3.1801,3.23132,3.0523,3.0341,2.98743,2.78262,2.60391,2.50506,2.29274,2.20938,1.82907,1.65132,1.59076
Bulgaria,8.00754,7.6936,7.67174,7.45997,6.56586,7.01554,7.04275,6.99892,6.7487,6.50781,6.39143,6.04518,5.75841,5.90301,5.79013,5.3845,5.21518,5.08608,4.91901,4.75974,4.6081,4.57816,4.42667,4.47599,4.32118,4.1994
Switzerland,1.13292,1.04786,1.05057,1.00278,0.94622,0.94967,0.9455,0.93641,0.9234,0.91214,0.93434,0.94954,0.97309,0.95284,0.97203,0.96392,0.96465,0.94921,0.93296,0.91467,0.90378,0.89026,0.86852,0.86398,0.85483,0.84646
Cyprus,0.38506,0.38969,0.39908,0.40778,0.41897,0.42663,0.43091,0.43865,0.44492,0.45202,0.46,0.46854,0.47484,0.47642,0.47897,0.48578,0.48009,0.48206,0.48988,0.48868,0.49998,0.49555,0.50813,0.51068,0.51262,0.51494
Czech Republic,3.12683,3.26957,3.27901,3.36117,3.50975,3.51795,3.52862,3.62043,3.72339,3.71646,3.74317,3.86768,3.989,4.13918,4.07426,4.11716,4.18589,4.11387,4.30221,4.40185,4.63701,4.6842,4.83784,5.12798,5.15131,5.25641
Germany (until 1990 former territory of the FRG),37.95505,39.34935,39.9319,39.76778,38.96189,37.98197,36.58383,33.69826,31.6352,30.06242,28.56355,26.9604,25.60061,24.10703,22.68735,21.25069,19.59282,18.29685,17.06467,15.84414,14.70997,13.93696,13.19103,12.38873,11.81613,11.2105
Denmark,1.76338,1.77,1.75046,1.74872,1.67919,1.59806,1.56196,1.48521,1.44488,1.5161,1.51326,1.54806,1.57732,1.58929,1.28585,1.2755,1.33165,1.32247,1.30181,1.26037,1.19006,1.18686,1.15185,1.12322,1.17485,1.15253
Estonia,0.3699,0.38275,0.39418,0.41196,0.41106,0.39771,0.43577,0.49326,0.50966,0.51539,0.5628,0.57061,0.55716,0.54629,0.54152,0.51389,0.49827,0.49312,0.47648,0.46732,0.4742,0.41608,0.40958,0.3755,0.34027,0.32608
Greece,4.86382,4.83952,4.93802,4.98987,5.14266,5.1502,5.24953,5.21194,5.39479,5.34742,5.34823,4.57637,4.53027,4.65163,4.65604,4.76081,4.91028,4.73208,4.74341,4.46409,4.75044,4.53519,4.31807,4.42747,4.50223,4.48646
